	name	rating(out of 5)	rating_count	delivery_fee	min_order	delivery_option	food
0	Samosa Kitchen	4.0	219.0	Free delivery	No minimum	Restaurant Own delivery	['Pakistani']
1	Margherito's Pizza	4.0	11.0	Free delivery	No minimum		['Pizza']
2	Shawarma Time - Bhabara Market	2.2	4.0	Free delivery	No minimum		['Super Discount', 'Fast Food']
3	Top Inn Pizza			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Fried Chicken', 'Snacks-Street Food', 'Thin Crust Pizza', 'Burgers', 'Pizza', 'Sandwiches', 'Fast Food']
4	#TheDeli	4.1	6.0	Free delivery	No minimum	foodpanda delivery	['American']
5	PAK ASIA FAST FOOD-Kadafi stadium			Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Fast Food']
6	Butter Crust - DHA			Free delivery	No minimum	foodpanda delivery	['Pasta', 'Pizza', 'Fast Food']
7	Butter Crust	4.3	416.0	Free delivery	No minimum	foodpanda delivery	['Pizza']
8	Balochi Sajji by Bundu Khan	3.8	34.0	Free delivery	No minimum	Restaurant Own delivery	['BBQ', 'Fast Food', 'Fish', 'Rice', 'Soup', 'Tandoor', 'Asian', 'Fast Food', 'Pakistani']
9	24 Wall Street Pizza	3.9	1349.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Meat', 'Super Discount', 'Sandwiches', 'Pizza']
10	Bholli Juice & Dry Fruit			Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Noodles', 'Pasta', 'Salad', 'Ice Cream Shakes', 'Juices', 'Desserts', 'Beverage']
11	Salt N Pepper lahore	4.3	981.0	Free delivery	No minimum	Restaurant Own delivery	['Curry', 'Fast Food', 'Noodles', 'Rice', 'Salad', 'Soup', 'Chinese', 'Pakistani', 'Italian']
12	Khala's Kitchen	4.5	71.0	Free delivery	No minimum		['Fast Food', 'Pizza', 'Pakistani']
13	Basanti			Free delivery	No minimum	foodpanda delivery	['Rice', 'Karahi', 'Tandoor', 'Beverage', 'Desserts', 'Pakistani']
14	Lahori Biryani - Gulberg			Free delivery	No minimum	foodpanda delivery	['Rice', 'Pakistani']
15	Munch Cafe By Funco			Free delivery	No minimum	foodpanda delivery	['Beverage', 'Burgers', 'Sandwiches', 'Pizza']
16	Sultan Basha			Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Spicy', 'Pakistani']
17	Karachi Red Rock	3.7	3639.0	Free delivery	No minimum	foodpanda delivery	['Curry', 'Fast Food', 'Fish', 'Soup', 'Tandoor', 'Burgers', 'Chinese', 'Pizza', 'Sandwiches', 'Seafood', 'Pakistani']
18	Karachi Red Rock Juice Corner	1.0	1.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream Shakes', 'Juices', 'Lassi', 'Tea', 'Coffee', 'Beverage']
19	Karachi Master Foods Paratha Roll & BBQ	3.5	53.0	Free delivery	No minimum	Restaurant Own delivery	['Fast Food', 'Pakistani']
20	Red Pepper Restaurant & BBQ	1.0	1.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Namkeen', 'Pakistani']
21	Seriously Saucy	2.0	1.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Super Discount', 'Fast Food']
22	Nainu's Pizza			Free delivery	No minimum	foodpanda delivery	['Italian', 'Pizza']
23	Aniyah's Cafe			Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Tacos', 'Wraps', 'Tea', 'Coffee', 'Steaks', 'Beverage', 'Burgers', 'Desserts', 'Fast Food', 'Middle Eastern', 'Sandwiches', 'Cakes & Bakery']
24	Karachi Golden BBQ & Paratha Roll	3.6	22.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
25	Kings & Queens	3.3	20.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
26	Domeno Hut	1.0	2.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Burgers', 'Pizza']
27	Foodyz	4.0	19.0	Free delivery	No minimum	foodpanda delivery	['Steaks', 'Super Discount', 'Burgers', 'Pizza', 'Fast Food']
28	Paradise Restaurant	4.1	25.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Fast Food', 'Soup', 'Beverage', 'Chinese', 'Fast Food', 'Middle Eastern', 'Pakistani']
29	21 Pizza Bar			Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Pizza']
30	Taoyuan Chinese	3.9	52.0	Free delivery	No minimum	foodpanda delivery	['Seafood', 'Chinese']
31	Ambala Milk Shop - Gulberg	5.0	1.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Sweets', 'Desserts', 'Beverage']
32	Cathay Kitchen by Hsin Kuang	3.6	3.0	Free delivery	No minimum	foodpanda delivery	['Thai']
33	Hafiz Juice Corner			Free delivery	No minimum	foodpanda delivery	['Beverage']
34	Downtown China			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Curry', 'Fast Food', 'Fish', 'Fried Chicken', 'Noodles', 'Rice', 'Snacks-Street Food', 'Soup', 'Spicy', 'Prawns', 'Chinese', 'Pakistani', 'Singaporean', 'Thai', 'Fast Food']
35	Manzoor Brothers Juice & Dry Fruits			Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Wraps', 'Ice Cream Shakes', 'Juices', 'Desserts', 'Healthy', 'Beverage']
36	The Hots pot	4.1	61.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Fast Food']
37	The Frozen Zone			Free delivery	No minimum	foodpanda delivery	['Desserts']
38	Pizza Hot Slice	3.3	8.0	Free delivery	No minimum	Restaurant Own delivery	['Pizza']
39	Hafiz Faisal Food Salad Bar			Free delivery	No minimum	foodpanda delivery	['Salad', 'American', 'Cakes & Bakery', 'Chinese']
40	Gloria Jeans - Hali Road			Free delivery	No minimum	foodpanda delivery	['Tea', 'Cakes & Bakery', 'Beverage']
41	Tree Lounge	3.3	23.0	Free delivery	No minimum	foodpanda delivery	['Pasta', 'Soup', 'Steaks', 'Chinese', 'Pizza', 'Italian']
42	Lebanese Corner	4.1	56.0	Free delivery	No minimum	foodpanda delivery	['Wraps', 'Paratha', 'Pakistani']
43	Five Star Cafe			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Curry', 'Rice', 'Spicy', 'Pakistani']
44	Sana's Food World	4.0	11.0	Free delivery	No minimum	foodpanda delivery	['Fast Food']
45	Chick & Cheese	4.0	2.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Pizza', 'Fast Food']
46	X2	4.2	201.0	Free delivery	No minimum	Restaurant Own delivery	['Salad', 'Chicken', 'Soup', 'Noodles', 'Rice', 'Salad', 'Soup', 'Thai', 'Beverage', 'Vegetarian', 'Chinese', 'Desserts', 'Seafood', 'Thai', 'Vegetarian', 'Asian']
47	The Spot			Free delivery	No minimum	foodpanda delivery	['Karahi', 'Pakistani']
48	The Coffee Lounge & La Patisserie			Free delivery	No minimum	foodpanda delivery	['Tea', 'Coffee', 'Beverage', 'Desserts', 'Pizza', 'Fast Food']
49	X2 Cafe	4.1	93.0	Free delivery	No minimum	Restaurant Own delivery	['Beverage', 'Burgers', 'Italian', 'Pizza', 'Sandwiches', 'Seafood', 'International']
50	Novu Pan	4.1	20.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Chinese', 'Fast Food', 'Thai']
51	Cp Five Star Chicken	4.2	440.0	Free delivery	No minimum	Restaurant Own delivery	['Chicken', 'Fast Food', 'Super Discount', 'Burgers', 'Fast Food']
52	California Pizza	4.3	448.0	Free delivery	No minimum	Restaurant Own delivery	['Pizza']
53	The Burning Giraffe	5.0	1.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Salad', 'Juices', 'Tea', 'Coffee', 'Beverage', 'Desserts', 'Fast Food', 'Pizza', 'Seafood', 'Western']
54	Cafe Beirut	4.1	23.0	Free delivery	No minimum	foodpanda delivery	['Lebanese']
55	The Wok			Free delivery	No minimum	foodpanda delivery	['Chinese']
56	The Brasserie	4.0	13.0	Free delivery	No minimum	foodpanda delivery	['Pizza', 'Fast Food']
57	Espresso	4.3	548.0	Free delivery	No minimum	Restaurant Own delivery	['Fast Food', 'Pasta', 'Salad', 'Wraps', 'Burgers', 'Desserts', 'Italian', 'Mexican', 'Sandwiches', 'Beverage']
58	Eataly Ristorante	3.8	24.0	Free delivery	No minimum	foodpanda delivery	['Italian']
